Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 47, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 0, 1,,,,,,,,, L2, DMA, 588, 588, 256, 150528, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, 2162ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 48, TIDL_ConcatLayer, 1024, 20, 20, 1024, 20, 20, 1024,  COL, 0, 0, 420, 420, 4, 0, 4,,,,,,,,, L2, DMA, 588, 588, 512, 301056, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 1024, 589846, 22, 1621ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 49, TIDL_ConvolutionLayer, 1024, 20, 20, 512, 20, 20, 1024, ROW_L, 0, 0, 64, 420, 7, 56, 56,,,,,,,,, L2, DMA, 192, 192, 1024, 196864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 294934, 22, 27a26a, ,,,,,,,, L2, DMA, 1088, 1025, 128, 139264, 0, 30100, MSMC, DMA, 1088, 1025, 512, 557056, 0, 1f2200, 
 50, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, d20ea, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 52, TIDL_ConvolutionLayer, 256, 20, 20, 256, 20, 20, 256, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 256, 114688, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, d20ea, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 1c000, ,,,,,,,, 
 53, TIDL_ConvolutionLayer, 256, 20, 20, 256, 20, 20, 256, ROW_L, 44, 64, 256, 463, 2, 8, 8,,,,,,,,, L2, DMA, 576, 576, 256, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, 1f61ea, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 24000, MSMC, DMA_ONCE, 2368, 2305, 256, 606208, 0, 5e9900, 
 51, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, d20ea, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 54, TIDL_ConcatLayer, 512, 20, 20, 512, 20, 20, 512,  COL, 0, 0, 420, 420, 2, 0, 2,,,,,,,,, L2, DMA, 588, 588, 512, 301056, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 294934, 22, 1621ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 55, TIDL_ConvolutionLayer, 512, 20, 20, 512, 20, 20, 512, ROW_L, 0, 0, 64, 420, 7, 1, 7,,,,,,,,, L2, DMA, 192, 192, 512, 98560, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 294934, 22, 1aa26a, ,,,,,,,, L2, DMA, 576, 513, 512, 294912, 0, 18100, ,,,,,,,, 
 56, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, d20ea, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 57, TIDL_ResizeLayer, 256, 20, 20, 256, 40, 40, 256,  COL, 0, 0, 463, 463, 1, 0, 1,,,,,,,,, L2, DMA, 588, 588, 256, 150528, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442410, 42, 1621d6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 58, TIDL_ConcatLayer, 512, 40, 40, 512, 40, 40, 512,  COL, 0, 0, 1640, 1640, 4, 0, 4,,,,,,,,, L2, DMA, 1763, 1763, 256, 451328, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 512, 884778, 42, 1621d6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 59, TIDL_ConvolutionLayer, 512, 40, 40, 128, 40, 40, 512, ROW_L, 0, 0, 320, 1640, 6, 1, 6,,,,,,,,, L2, DMA, 704, 704, 512, 361728, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, f6156, ,,,,,,,, L2, DMA, 576, 513, 128, 73728, 0, 58500, ,,,,,,,, 
 61, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, f6156, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 36000, ,,,,,,,, 
 62, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, f6156, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
